Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2035.27,1594.76,0,946280.73,0,33,30
2133.22,145.66,0,6909.33,0,15,2
2155.92,114.6,0,3946.53,0,206,1
2168.33,409.38,0,21869.18,0,362,7
2191.39,136.35,0,5859.09,0,273,2
2314.53,117.11,0,3976.28,0,225,1
2337.38,127.78,0,5136.34,0,290,1
2427.93,158.14,0,7955.09,0,296,2
2452.58,153.48,0,8065.5,0,270,2
3454.28,104.95,0,4048.21,0,154,1
4066.7,154.8,0,23545.08,0,134,2
6086.57,287.28,0,51752.25,0,175,5
