Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2032.78,496.97,0,263478.45,0,36,11
2105.33,122.41,0,4161.21,0,19,2
2157.4,177.85,0,7687.26,0,341,3
2192.94,157.91,0,6037.11,0,373,3
2428.67,377.14,0,22938.64,0,335,8
2451.34,121.22,0,4725.97,0,254,2
2597.85,129.28,0,4008.59,0,370,2
3119.7,128.02,0,6061.69,0,285,2
4933.53,116.56,0,4203.82,0,387,2
