2031.99108486609,6.15276241618162,0,6.15276241618162,6.15276241618162,0,0
2104.64920275849,1.29317178925073,0,1.29317178925073,1.29317178925073,0,0
2115.77243936903,1.207611823621,0,1.207611823621,1.207611823621,0,0
2428.48574304747,2.68077852282999,0,2.68077852282999,2.68077852282999,0,0
2452.00820180971,1.34504445118914,0,1.34504445118914,1.34504445118914,0,0
3774.0339405789,1.44874777077696,0,1.44874777077696,1.44874777077696,0,0
3814.14467175375,1.19270175566647,0,1.19270175566647,1.19270175566647,0,0
4062.91522589628,2.81588613327677,0,2.81588613327677,2.81588613327677,0,0
4592.01891020249,1.34146132080937,0,1.34146132080937,1.34146132080937,0,0
5656.99922268688,5.68430495289911,0,5.68430495289911,5.68430495289911,0,0
6083.40390571782,9.13905774341206,0,9.13905774341206,9.13905774341206,0,0
6884.35899023408,3.44531823998838,0,3.44531823998838,3.44531823998838,0,0
11291.6615616252,1.05384339333332,0,1.05384339333332,1.05384339333332,0,0
12150.919757102,1.60448061657911,0,1.60448061657911,1.60448061657911,0,0
