Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2036.12,596.15,0,344130.42,0,34,12
2114.5,107.02,0,2303.43,0,237,1
2193.16,114.8,0,2641.94,0,325,1
2428.97,149.3,0,7102.11,0,283,2
2453.16,122.96,0,4601.11,0,272,2
4074.43,112.97,0,5217.09,0,138,1
5658.74,199.45,0,33375.85,0,148,3
6086.72,268.16,0,38261.81,0,214,5
