Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2032.09,688.72,0,371581.01,0,36,15
2101.24,141.88,0,13620.23,0,19,2
2115.78,102.47,0,3027.07,0,191,1
2156.42,188.01,0,8282.26,0,353,3
2191.64,151.04,0,6138.19,0,354,2
2427.54,415.23,0,26527.64,0,322,8
2449.44,149.63,0,7930.55,0,268,2
2596.43,109.57,0,2549.54,0,351,1
3117.7,129.27,0,5731.57,0,273,2
4057.79,122.18,0,8404.75,0,125,2
4071.69,154.55,0,10961.17,0,138,2
4931.41,123.9,0,5777.9,0,334,2
5653.91,143.36,0,17715.53,0,146,2
6083.68,293.7,0,44598.59,0,205,6
6883.46,144.64,0,16260.03,0,199,2
