Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2029.39,780.83,0,413133.48,0,40,16
2098.12,127.43,0,2200.24,0,281,2
2100.22,113.39,0,1073.88,0,20,1
2106.29,157.41,0,5730.35,0,272,2
2109.16,110.61,0,637.28,0,19,1
2158.88,273.42,0,9572.35,0,462,5
2163.03,107.02,0,627.79,0,215,1
2194.84,218.33,0,7396.09,0,501,4
2339.62,106.4,0,419.21,0,351,1
2430.33,460.03,0,26600.95,0,408,9
2450,106.85,0,741.17,0,230,1
2453.53,143.89,0,5122.25,0,286,2
2470.67,128.84,0,1811.41,0,597,2
2486.03,143.18,0,2070.37,0,412,2
2599.94,142.31,0,3586.9,0,430,2
2776.72,116.3,0,3483.91,0,345,1
2916.94,126.87,0,1635.95,0,688,2
2931.13,121.17,0,1134.78,0,532,2
3117.62,105.79,0,730.46,0,293,1
3122.31,166.01,0,7190.29,0,332,3
3818.44,122.36,0,3468.38,0,501,2
4076.35,100.72,0,401.37,0,409,1
4079.18,121.06,0,2719.15,0,522,2
4938.29,137.3,0,5102.87,0,452,2
